node_id,round,simulation_time,packet_rate,energy_remaining,energy_consumed_uJ,dist_to_ch,dist_to_bs,is_cluster_head,x_pos,y_pos,adv_ch_sent,adv_ch_rcvd,join_req_sent,join_req_rcvd,sch_sent,sch_rcvd,data_sent,data_rcvd,data_sent_bs,send_rcv_ratio,nbr_1_status,nbr_2_status,nbr_3_status,nbr_4_status,nbr_5_status,label
0,1,1,49.4203,95.3893,4.61069,17.2582,49.0926,0,71.1533,5.69855,0,3,1,0,0,1,20,15,0,0.75,1,1,1,1,1,1
1,1,1,47.0792,98.378,1.62199,18.2242,23.7091,1,52.7785,26.4543,1,10,0,7,1,0,7,7,7,1,0,1,1,1,1,1
2,1,1,23.501,95.9146,4.08535,26.859,46.9971,0,24.5304,10.5029,0,2,1,0,0,1,8,5,0,0.625,1,1,1,1,1,1
3,1,1,80.3876,96.8409,3.15915,4.6196,35.0151,0,74.7048,25.1862,0,4,1,0,0,1,14,9,0,0.642857,1,1,1,1,1,1
4,1,1,63.6894,97.1006,2.89935,26.134,54.1508,0,19.4793,5.26976,0,1,1,0,0,1,9,6,0,0.666667,1,1,1,1,1,1
5,1,1,98.6154,96.9181,3.08192,13.6072,36.1801,0,81.1579,31.6103,0,4,1,0,0,1,23,18,0,0.782609,1,1,1,1,1,1
6,1,1,44.4879,97.1081,2.89185,12.3651,34.6748,0,27.9191,76.7353,0,5,1,0,0,1,6,4,0,0.666667,1,1,1,1,1,1
7,1,1,49.7704,96.6868,3.31315,0.861445,37.3911,0,49.6493,87.3895,0,1,1,0,0,1,18,11,0,0.611111,1,1,1,1,1,1
8,1,1,18.6743,96.9618,3.03818,2.76531,33.7972,0,83.7463,48.1468,0,5,1,0,0,1,9,6,0,0.666667,1,1,1,1,1,1
9,1,1,63.0498,97.5644,2.43558,5.76652,46.2688,0,4.60591,58.9542,0,2,1,0,0,1,17,15,0,0.882353,1,1,1,1,1,1
10,1,1,64.1252,97.8192,2.18077,20.201,41.2395,0,77.5776,80.6623,0,5,1,0,0,1,12,7,0,0.583333,1,1,1,1,1,1
11,1,1,6.7385,97.1019,2.89808,15.3449,55.0774,1,1.38043,24.1222,2,8,0,8,1,0,8,8,8,1,1,1,1,1,1,1
12,1,1,130.838,97.0237,2.97626,24.8787,38.384,0,29.5639,17.5085,0,6,1,0,0,1,14,4,0,0.285714,1,1,1,1,1,2
13,1,1,26.5504,96.3428,3.65719,15.5881,55.3403,0,85.1952,7.29351,0,3,1,0,0,1,3,0,0,0,1,1,1,1,1,2
14,1,1,91.406,95.0111,4.9889,3.16401,33.1236,0,67.6533,21.9726,0,1,1,0,0,1,10,3,0,0.3,1,1,1,1,1,2
15,1,1,103.008,97.6219,2.37808,21.8525,59.8187,0,90.2276,94.2721,0,1,1,0,0,1,11,3,0,0.272727,1,1,1,1,1,2
16,1,1,112.085,96.2574,3.74256,18.8934,64.5779,0,3.36146,5.33291,0,4,1,0,0,1,12,3,0,0.25,1,1,1,1,1,2
17,1,1,16.6659,98.0055,1.99452,23.2715,60.4469,0,89.6885,95.5922,0,3,1,0,0,1,2,2,0,1,1,1,1,1,1,0
18,1,1,26.6555,97.6044,2.3956,6.04778,53.2729,0,99.9801,68.4387,0,2,1,0,0,1,3,3,0,1,1,1,1,1,1,0
19,1,1,69.9632,95.7002,4.29985,8.24963,55.8845,0,91.0767,12.1082,1,2,1,0,0,1,7,7,0,1,1,1,1,1,1,0
20,1,1,66.5983,98.4944,1.50563,4.10125,31.4814,0,81.1182,45.2321,0,3,1,0,0,1,7,7,0,1,1,1,1,1,1,0
21,1,1,21.2371,97.5837,2.41626,18.3366,28.4956,1,25.5306,64.6031,1,9,0,9,1,0,9,9,9,1,1,1,0,1,1,0
22,1,1,46.6227,97.5981,2.40195,9.8799,43.8683,0,75.7194,14.4621,0,4,1,0,0,1,5,5,0,1,1,1,1,1,1,0
23,1,1,39.482,97.5848,2.41516,6.48022,51.5158,0,89.2534,16.6377,0,6,1,0,0,1,4,4,0,1,1,1,1,1,1,0
24,1,1,72.689,97.6598,2.34023,13.2546,37.4587,0,85.5261,61.8763,0,1,1,0,0,1,8,8,0,1,1,0,1,1,1,0
25,1,1,53.5948,98.8084,1.19157,5.73938,33.7449,0,19.8109,65.0778,0,3,1,0,0,1,6,6,0,1,1,1,1,1,1,0
26,1,1,36.6239,99.0062,0.99377,1.65178,27.5909,0,25.6396,62.9549,0,5,1,0,0,1,4,4,0,1,1,1,1,1,1,0
27,1,1,6.37782,97.432,2.56802,12.8207,28.6729,0,40.4412,22.9673,0,3,1,0,0,1,1,1,0,1,1,1,1,1,1,0
28,1,1,46.7923,97.1992,2.80076,30.7528,50.5765,0,34.1836,1.96024,0,5,1,0,0,1,5,5,0,1,1,1,1,1,1,0
29,1,1,56.5059,98.7045,1.29546,9.14788,31.3265,0,47.8505,18.7473,0,3,1,0,0,1,6,6,0,1,1,1,1,1,0,0
30,1,1,81.7955,97.5036,2.49637,8.15584,58.5143,0,99.805,80.7145,0,2,1,0,0,1,9,8,0,0.888889,1,1,1,1,1,0
31,1,1,43.6139,98.9286,1.07143,32.513,36.5392,1,49.5313,86.5362,1,7,0,5,1,0,5,5,5,1,1,1,1,0,1,0
32,1,1,41.5704,97.4265,2.57352,18.4928,39.4971,0,67.9737,85.1706,0,2,1,0,0,1,5,5,0,1,1,1,1,1,1,0
33,1,1,19.5976,98.0471,1.95295,11.8335,35.5412,0,54.3849,14.7303,0,1,1,0,0,1,2,2,0,1,1,1,1,1,1,0
34,1,1,53.1319,98.8369,1.16315,15.9494,47.8876,0,36.6947,96.0021,0,5,1,0,0,1,6,6,0,1,1,1,1,1,1,0
35,1,1,57.6866,97.4528,2.54723,11.0173,50.6802,0,5.94293,75.0492,0,2,1,0,0,1,6,6,0,1,1,1,1,1,1,0
36,1,1,56.1245,97.3256,2.67438,17.5331,21.4749,0,56.5268,70.4591,0,2,1,0,0,1,6,6,0,1,1,1,1,1,1,0
37,1,1,44.6373,97.5225,2.47746,6.14556,28.8254,0,22.67,59.1639,0,4,1,0,0,1,5,5,0,1,1,1,1,1,1,0
