node_id,round,packet_rate,energy_remaining,energy_consumed_uJ,is_cluster_head,x_pos,y_pos,label,dist_to_ch,dist_to_bs,simulation_time,adv_ch_sent,adv_ch_rcvd,join_req_sent,join_req_rcvd,sch_sent,sch_rcvd,data_sent,data_rcvd,data_sent_bs,send_rcv_ratio,nbr_1_status,nbr_2_status,nbr_3_status,nbr_4_status,nbr_5_status,layer1_flagged
0.0,1.0,49.4203,95.3893,4.61069,0.0,71.1533,5.69855,1.0,17.2582,49.0926,1.0,0.0,3.0,1.0,0.0,0.0,1.0,20.0,15.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0
1.0,1.0,47.0792,98.378,1.62199,1.0,52.7785,26.4543,1.0,18.2242,23.7091,1.0,1.0,10.0,0.0,7.0,1.0,0.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0
2.0,1.0,23.501,95.9146,4.08535,0.0,24.5304,10.5029,1.0,26.859,46.9971,1.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,5.0,0.0,0.625,1.0,1.0,1.0,1.0,1.0,0
3.0,1.0,80.3876,96.8409,3.15915,0.0,74.7048,25.1862,1.0,4.6196,35.0151,1.0,0.0,4.0,1.0,0.0,0.0,1.0,14.0,9.0,0.0,0.642857,1.0,1.0,1.0,1.0,1.0,0
4.0,1.0,63.6894,97.1006,2.89935,0.0,19.4793,5.26976,1.0,26.134,54.1508,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,0.0,0.666667,1.0,1.0,1.0,1.0,1.0,0
5.0,1.0,98.6154,96.9181,3.08192,0.0,81.1579,31.6103,1.0,13.6072,36.1801,1.0,0.0,4.0,1.0,0.0,0.0,1.0,23.0,18.0,0.0,0.782609,1.0,1.0,1.0,1.0,1.0,0
6.0,1.0,44.4879,97.1081,2.89185,0.0,27.9191,76.7353,1.0,12.3651,34.6748,1.0,0.0,5.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,0.666667,1.0,1.0,1.0,1.0,1.0,0
7.0,1.0,49.7704,96.6868,3.31315,0.0,49.6493,87.3895,1.0,0.861445,37.3911,1.0,0.0,1.0,1.0,0.0,0.0,1.0,18.0,11.0,0.0,0.611111,1.0,1.0,1.0,1.0,1.0,0
8.0,1.0,18.6743,96.9618,3.03818,0.0,83.7463,48.1468,1.0,2.76531,33.7972,1.0,0.0,5.0,1.0,0.0,0.0,1.0,9.0,6.0,0.0,0.666667,1.0,1.0,1.0,1.0,1.0,0
9.0,1.0,63.0498,97.5644,2.43558,0.0,4.60591,58.9542,1.0,5.76652,46.2688,1.0,0.0,2.0,1.0,0.0,0.0,1.0,17.0,15.0,0.0,0.882353,1.0,1.0,1.0,1.0,1.0,0
10.0,1.0,64.1252,97.8192,2.18077,0.0,77.5776,80.6623,1.0,20.201,41.2395,1.0,0.0,5.0,1.0,0.0,0.0,1.0,12.0,7.0,0.0,0.583333,1.0,1.0,1.0,1.0,1.0,0
11.0,1.0,6.7385,97.1019,2.89808,1.0,1.38043,24.1222,1.0,15.3449,55.0774,1.0,2.0,8.0,0.0,8.0,1.0,0.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1
12.0,1.0,130.838,97.0237,2.97626,0.0,29.5639,17.5085,2.0,24.8787,38.384,1.0,0.0,6.0,1.0,0.0,0.0,1.0,14.0,4.0,0.0,0.285714,1.0,1.0,1.0,1.0,1.0,1
13.0,1.0,26.5504,96.3428,3.65719,0.0,85.1952,7.29351,2.0,15.5881,55.3403,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
14.0,1.0,91.406,95.0111,4.9889,0.0,67.6533,21.9726,2.0,3.16401,33.1236,1.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,3.0,0.0,0.3,1.0,1.0,1.0,1.0,1.0,1
15.0,1.0,103.008,97.6219,2.37808,0.0,90.2276,94.2721,2.0,21.8525,59.8187,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,3.0,0.0,0.272727,1.0,1.0,1.0,1.0,1.0,1
16.0,1.0,112.085,96.2574,3.74256,0.0,3.36146,5.33291,2.0,18.8934,64.5779,1.0,0.0,4.0,1.0,0.0,0.0,1.0,12.0,3.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1
17.0,1.0,16.6659,98.0055,1.99452,0.0,89.6885,95.5922,0.0,23.2715,60.4469,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
18.0,1.0,26.6555,97.6044,2.3956,0.0,99.9801,68.4387,0.0,6.04778,53.2729,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
19.0,1.0,69.9632,95.7002,4.29985,0.0,91.0767,12.1082,0.0,8.24963,55.8845,1.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
20.0,1.0,66.5983,98.4944,1.50563,0.0,81.1182,45.2321,0.0,4.10125,31.4814,1.0,0.0,3.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
21.0,1.0,21.2371,97.5837,2.41626,1.0,25.5306,64.6031,0.0,18.3366,28.4956,1.0,1.0,9.0,0.0,9.0,1.0,0.0,9.0,9.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,0
22.0,1.0,46.6227,97.5981,2.40195,0.0,75.7194,14.4621,0.0,9.8799,43.8683,1.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
23.0,1.0,39.482,97.5848,2.41516,0.0,89.2534,16.6377,0.0,6.48022,51.5158,1.0,0.0,6.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
24.0,1.0,72.689,97.6598,2.34023,0.0,85.5261,61.8763,0.0,13.2546,37.4587,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0
25.0,1.0,53.5948,98.8084,1.19157,0.0,19.8109,65.0778,0.0,5.73938,33.7449,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
26.0,1.0,36.6239,99.0062,0.99377,0.0,25.6396,62.9549,0.0,1.65178,27.5909,1.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
27.0,1.0,6.37782,97.432,2.56802,0.0,40.4412,22.9673,0.0,12.8207,28.6729,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
28.0,1.0,46.7923,97.1992,2.80076,0.0,34.1836,1.96024,0.0,30.7528,50.5765,1.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
29.0,1.0,56.5059,98.7045,1.29546,0.0,47.8505,18.7473,0.0,9.14788,31.3265,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0
30.0,1.0,81.7955,97.5036,2.49637,0.0,99.805,80.7145,0.0,8.15584,58.5143,1.0,0.0,2.0,1.0,0.0,0.0,1.0,9.0,8.0,0.0,0.888889,1.0,1.0,1.0,1.0,1.0,0
31.0,1.0,43.6139,98.9286,1.07143,1.0,49.5313,86.5362,0.0,32.513,36.5392,1.0,1.0,7.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0
32.0,1.0,41.5704,97.4265,2.57352,0.0,67.9737,85.1706,0.0,18.4928,39.4971,1.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
33.0,1.0,19.5976,98.0471,1.95295,0.0,54.3849,14.7303,0.0,11.8335,35.5412,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
34.0,1.0,53.1319,98.8369,1.16315,0.0,36.6947,96.0021,0.0,15.9494,47.8876,1.0,0.0,5.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
35.0,1.0,57.6866,97.4528,2.54723,0.0,5.94293,75.0492,0.0,11.0173,50.6802,1.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
36.0,1.0,56.1245,97.3256,2.67438,0.0,56.5268,70.4591,0.0,17.5331,21.4749,1.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
37.0,1.0,44.6373,97.5225,2.47746,0.0,22.67,59.1639,0.0,6.14556,28.8254,1.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
38.0,1.0,15.3834,98.97,1.02998,0.0,14.247,17.5001,0.0,14.4707,48.3169,1.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
39.0,1.0,36.252,98.7501,1.24988,0.0,19.6179,50.9949,0.0,14.8372,30.3984,1.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
40.0,1.0,68.7033,97.895,2.10502,0.0,64.4886,44.1066,0.0,17.5544,15.6414,1.0,0.0,3.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
41.0,1.0,8.21154,97.8415,2.15852,1.0,70.6626,22.9498,0.0,18.2242,34.0391,1.0,1.0,3.0,0.0,11.0,1.0,0.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0
42.0,1.0,20.1757,98.5276,1.47242,0.0,63.4803,5.31376,0.0,19.0425,46.6752,1.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
43.0,1.0,4.59889,98.2872,1.71278,0.0,80.4288,13.7333,0.0,13.4284,47.3412,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
44.0,1.0,52.5993,97.5182,2.48182,0.0,56.0551,35.1852,0.0,9.32549,16.0045,1.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
45.0,1.0,63.0325,95.9641,4.03594,0.0,51.2314,72.2115,0.0,14.4252,22.2456,1.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
46.0,1.0,30.5165,96.9907,3.00932,0.0,71.848,27.0711,0.0,4.28838,31.6713,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
47.0,1.0,66.2479,98.389,1.61103,0.0,46.1701,23.3253,0.0,7.31181,26.9483,1.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
48.0,1.0,54.5647,98.9777,1.02226,0.0,6.28699,23.4702,0.0,4.9497,51.1337,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
49.0,1.0,50.1593,98.0965,1.90349,0.0,96.982,43.1679,0.0,16.8985,47.4762,1.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
50.0,1.0,64.6306,95.6903,4.30971,0.0,26.9308,56.8536,0.0,7.87497,24.0657,1.0,0.0,3.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1
